No,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
130,11545510,1523953,0.28,394174,0.34,0.259,0,0,253949,23207,37,28244762,2353730,28244762,2353730
131,11545610,754668,0.139,160608,0.139,0.213,0,0,253949,39132,38,0,0,28244762,2353730
132,11545620,333687,0.061,63083,0.054,0.189,0,0,253949,22734,53,0,0,28244762,2353730
133,11545690,295776,0.054,52487,0.045,0.177,0,0,253949,12128,46,0,0,28244762,2353730
134,11545700,329737,0.061,60517,0.052,0.184,0,0,253949,23267,42,0,0,28244762,2353730
135,11545710,302202,0.056,57207,0.049,0.189,0,0,253949,22158,57,0,0,28244762,2353730
136,11560515,580975,0.05,126543,0.047,0.218,1,0,402300,25841,39,0,0,77360565,6446714
137,11560535,1268294,0.109,341816,0.127,0.27,1,0,402300,22659,44,6594880,549573,77360565,6446714
138,11560540,2323464,0.199,559998,0.207,0.241,1,0,402300,33766,50,0,0,77360565,6446714
139,11560550,565182,0.048,125545,0.047,0.222,1,0,402300,21315,36,18454917,1537910,77360565,6446714
140,11560690,328255,0.028,69007,0.026,0.21,1,0,402300,16933,50,0,0,77360565,6446714
141,11560700,311729,0.027,61675,0.023,0.198,1,0,402300,16968,52,0,0,77360565,6446714
142,11560710,361249,0.031,77537,0.029,0.215,1,0,402300,21847,52,0,0,77360565,6446714
143,11560720,671480,0.058,137027,0.051,0.204,1,0,402300,29834,47,0,0,77360565,6446714
144,11590510,1174915,0.117,322794,0.136,0.275,1,0,410138,33014,48,0,0,151724247,12643687
145,11590520,482664,0.048,110518,0.047,0.229,1,0,410138,14683,44,0,0,151724247,12643687
146,11590550,442751,0.044,99857,0.042,0.226,1,0,410138,26306,48,0,0,151724247,12643687
147,11590630,919523,0.092,185883,0.078,0.202,1,0,410138,29126,41,18983735,1581978,151724247,12643687
148,11590651,240275,0.024,56433,0.024,0.235,1,0,410138,13341,45,0,0,151724247,12643687
149,11590660,953641,0.095,217648,0.092,0.228,1,0,410138,40708,56,11575829,964652,151724247,12643687
150,11590670,410977,0.041,91753,0.039,0.223,1,0,410138,27430,41,20228881,1685740,151724247,12643687
151,11590680,655302,0.065,160532,0.068,0.245,1,0,410138,20931,52,0,0,151724247,12643687
152,11620525,513653,0.043,120779,0.04,0.235,1,1,522546,26607,60,0,0,175712801,14642733
153,11620575,682836,0.057,187582,0.063,0.275,1,1,522546,30497,56,59696638,4974720,175712801,14642733
154,11620605,662985,0.055,147462,0.049,0.222,1,1,522546,35930,47,16300491,1358374,175712801,14642733
155,11620630,603380,0.05,138782,0.047,0.23,1,1,522546,19050,43,0,0,175712801,14642733
156,11620645,617235,0.052,163009,0.055,0.264,1,1,522546,23656,53,50804914,4233743,175712801,14642733
157,11620655,392090,0.033,101902,0.034,0.26,1,1,522546,20036,48,0,0,175712801,14642733
158,11620665,447668,0.037,103247,0.035,0.231,1,1,522546,25333,41,0,0,175712801,14642733
159,11620695,750162,0.063,227571,0.076,0.303,1,1,522546,21559,48,0,0,175712801,14642733
160,11620715,269729,0.023,53138,0.018,0.197,1,1,522546,16909,49,0,0,175712801,14642733
161,11650510,834837,0.057,200676,0.057,0.24,1,1,446838,21600,48,0,0,203402944,16950245
162,11650520,1085396,0.075,310896,0.089,0.286,1,1,446838,17413,37,0,0,203402944,16950245
163,11650531,1106288,0.076,333422,0.095,0.301,1,1,446838,30413,42,0,0,203402944,16950245
164,11650550,239703,0.016,47920,0.014,0.2,1,1,446838,12843,44,0,0,203402944,16950245
165,11650621,604133,0.042,136968,0.039,0.227,1,1,446838,26441,42,0,0,203402944,16950245
166,11650651,1230345,0.085,282145,0.081,0.229,1,1,446838,47487,49,0,0,203402944,16950245
167,11650652,967255,0.067,216530,0.062,0.224,1,1,446838,23882,48,0,0,203402944,16950245
168,11650660,600525,0.041,109748,0.031,0.183,1,1,446838,18988,45,0,0,203402944,16950245
