No,Gu,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
347,0,11650570,507929,0.035,100166,0.029,0.197,1,1,446838,24558,52,0,0,203402944,16950245
348,0,11650580,506120,0.035,109132,0.031,0.216,1,1,446838,18757,52,0,0,203402944,16950245
349,0,11650581,1103848,0.076,278801,0.08,0.253,1,1,446838,20497,43,0,0,203402944,16950245
350,0,11650590,584342,0.04,119349,0.034,0.204,1,1,446838,21804,43,55761557,4646796,203402944,16950245
351,0,11650600,533730,0.037,132647,0.038,0.249,1,1,446838,17231,53,0,0,203402944,16950245
352,0,11650610,656299,0.045,146386,0.042,0.223,1,1,446838,27358,46,1391999,116000,203402944,16950245
353,0,11650620,533165,0.037,113701,0.032,0.213,1,1,446838,23395,47,0,0,203402944,16950245
354,0,11650621,604133,0.042,136968,0.039,0.227,1,1,446838,26441,42,0,0,203402944,16950245
355,0,11650651,1230345,0.085,282145,0.081,0.229,1,1,446838,47487,49,0,0,203402944,16950245
356,0,11650652,967255,0.067,216530,0.062,0.224,1,1,446838,23882,48,0,0,203402944,16950245
357,0,11650660,600525,0.041,109748,0.031,0.183,1,1,446838,18988,45,0,0,203402944,16950245
358,1,11620685,3786026,0.168,984440,0.053,0.26,1,1,565069,18153,37,48910758,4075897,341766100,28480508
359,1,11680521,1084028,0.048,355405,0.072,0.328,1,1,565069,24419,46,30656650,2554721,341766100,28480508
360,1,11680531,1112971,0.05,332935,0.068,0.299,1,1,565069,22597,41,0,0,341766100,28480508
361,1,11680545,1181577,0.053,314911,0.064,0.267,1,1,565069,28164,50,0,0,341766100,28480508
362,1,11680565,1041640,0.046,296666,0.06,0.285,1,1,565069,30168,42,15879598,1323300,341766100,28480508
363,1,11680580,1156370,0.051,340416,0.069,0.294,1,1,565069,15232,43,41521286,3460107,341766100,28480508
364,1,11680590,997164,0.044,266393,0.054,0.267,1,1,565069,30344,41,47175724,3931310,341766100,28480508
365,1,11680600,629372,0.028,135289,0.028,0.215,1,1,565069,24968,42,2201803,183484,341766100,28480508
366,1,11680610,1362376,0.061,316541,0.064,0.232,1,1,565069,41639,49,8816043,734670,341766100,28480508
367,1,11680630,817768,0.036,220636,0.045,0.27,1,1,565069,21247,46,0,0,341766100,28480508
368,1,11680640,2728578,0.121,902319,0.184,0.331,1,1,565069,36490,52,34325174,2860431,341766100,28480508
369,1,11680650,1214876,0.054,331184,0.067,0.273,1,1,565069,37059,44,73617353,6134779,341766100,28480508
370,1,11680655,659878,0.029,153237,0.031,0.232,1,1,565069,22980,45,0,0,341766100,28480508
371,1,11680656,698877,0.031,155096,0.032,0.222,1,1,565069,34827,48,12747079,1062257,341766100,28480508
372,1,11680660,169269,0.008,28544,0.006,0.169,1,1,565069,20494,49,6962403,580200,341766100,28480508
373,1,11680670,373548,0.017,72180,0.015,0.193,1,1,565069,17360,45,0,0,341766100,28480508
374,1,11680690,445060,0.02,95531,0.019,0.215,1,1,565069,18479,50,0,0,341766100,28480508
375,1,11680700,1029991,0.046,212468,0.043,0.206,1,1,565069,44928,48,0,0,341766100,28480508
